,distance,width,movement_time
1664,75,14,529
1071,160,18,800
289,40,10,672
333,75,18,511
411,40,20,773
1818,120,8,553
3571,40,6,819
2827,40,8,541
5524,60,18,333
486,75,18,820
4067,60,14,456
1879,160,14,559
2936,210,10,918
3936,75,6,624
2266,210,8,992
345,120,20,665
1730,60,18,304
1695,40,10,416
2740,210,8,802
1851,60,8,522
1466,120,6,704
1141,40,20,522
4957,160,14,594
3004,120,6,1199
5361,210,18,560
2343,60,14,497
2554,160,18,823
2163,40,14,393
1351,60,14,559
2123,120,6,943
3290,160,8,738
4252,60,8,530
809,160,14,986
3814,160,10,656
975,60,6,807
3300,160,8,853
278,210,18,823
3033,40,20,605
141,75,8,929
855,160,10,993
124,160,18,707
2306,60,8,672
4158,160,8,752
3093,75,18,626
817,75,6,1270
3783,210,18,863
2814,210,18,767
4988,160,10,761
5648,60,20,264
417,75,8,1002
3312,210,14,687
5172,40,10,406
1334,40,10,474
1329,40,10,449
301,60,10,597
1842,160,6,655
4961,210,10,772
3032,40,20,467
3804,40,14,433
1560,120,10,672
5671,210,6,893
4130,75,20,472
36,210,20,888
1406,160,6,983
5580,210,10,706
5099,60,8,576
123,160,18,661
4930,60,20,489
3116,120,14,759
5196,40,8,433
2399,40,8,664
5610,160,6,823
4217,210,18,689
3291,160,8,752
833,120,20,758
1865,120,6,706
5254,60,6,502
4407,120,20,624
2952,40,10,735
2346,60,14,448
1420,210,18,857
613,210,18,1457
947,75,10,711
2752,160,14,624
714,75,10,1304
5289,75,14,466
5141,160,18,639
4177,120,6,710
4968,210,10,786
4526,75,8,1159
5154,210,8,919
2018,40,8,456
2837,120,18,703
3437,75,8,626
2883,120,8,1731
1366,210,6,793
4917,75,10,647
4999,40,6,519
5155,60,18,392
2523,160,6,864
5884,160,18,826
1132,40,20,446
1636,40,6,482
4862,60,6,567
5888,160,18,793
4815,210,14,753
4245,40,6,639
2290,40,6,832
920,40,6,545
741,60,20,658
1679,160,10,657
5511,210,20,611
5578,210,10,688
3413,120,18,530
4517,210,6,1324
4297,160,14,966
3647,75,8,969
4393,210,10,784
1223,120,8,826
1892,210,10,704
3874,160,20,639
4590,40,6,470
4739,120,10,697
3456,75,14,527
1783,60,6,543
5482,60,6,613
2038,160,18,755
3502,60,10,1016
2486,120,10,857
2747,160,6,1488
2629,75,8,610
1442,60,10,512
3053,75,20,690
2557,160,18,784
3554,210,10,1057
5384,40,20,311
2751,160,14,778
5946,210,10,830
129,120,18,729
2466,210,18,744
2938,210,10,690
1193,60,20,505
2359,210,14,1001
4075,210,20,733
3140,40,8,690
1479,75,18,536
513,210,20,805
5630,120,18,446
2283,40,6,543
5280,75,14,402
763,40,8,690
5381,40,20,360
3558,210,10,1113
6068,75,20,539
5919,40,8,593
4154,120,8,703
5045,120,10,889
3254,210,6,1002
2048,210,14,805
5640,60,20,327
3329,210,8,862
5338,120,20,568
4562,75,10,600
5294,210,20,734
3181,40,10,495
5709,210,18,558
4576,210,8,1106
4971,210,20,619
2906,60,10,820
5687,120,10,512
4742,120,14,705
3440,75,8,711
4969,210,10,733
905,40,20,510
4584,40,6,606
2574,120,8,808
977,60,6,778
3253,210,6,846
3322,210,14,939
5446,160,18,502
1862,120,6,838
1951,60,18,513
1089,120,14,708
3259,210,6,993
5871,40,20,489
1941,40,20,377
1846,160,6,616
574,75,6,918
5911,210,14,894
2669,210,6,929
1443,60,10,520
3668,75,14,712
5554,160,8,920
5889,160,18,854
5812,40,14,484
2746,160,6,1106
5508,210,20,578
1799,120,14,495
1456,120,14,712
1019,160,6,881
3867,210,10,752
207,210,6,982
3877,160,20,714
1832,40,20,247
3412,120,18,467
2667,210,6,1199
867,210,18,1001
6127,160,14,930
2175,40,18,415
4844,160,8,902
2531,160,6,945
3101,75,18,504
3441,75,8,593
4206,75,18,473
4618,40,10,523
3618,40,10,639
160,40,14,425
5823,210,8,1184
927,40,6,761
5960,160,20,765
3960,40,10,647
3682,40,20,658
1176,40,18,436
5746,40,8,416
5686,120,10,600
3177,40,10,358
260,210,14,856
1247,160,20,822
4257,60,8,663
1476,120,6,743
740,60,20,560
2566,210,8,1184
1686,40,10,497
5600,40,14,349
6037,120,6,1160
166,40,14,455
3488,60,8,696
3598,60,8,624
5904,210,14,872
5872,75,10,930
3431,75,8,760
377,120,14,567
3090,75,18,703
4715,40,18,447
774,120,18,1047
5053,160,6,766
3469,120,6,918
4593,40,6,713
4241,40,6,542
5,210,8,1287
100,75,6,771
2207,60,10,478
2886,160,8,995
4599,75,14,502
4043,210,8,1138
3453,40,14,446
1227,75,6,535
5407,120,18,535
2224,75,10,710
2273,210,18,714
2611,60,20,466
77,120,6,1296
565,120,8,1112
3702,120,20,773
2328,120,18,464
5560,160,8,688
1500,75,20,480
1782,60,6,563
5647,60,20,304
6023,60,6,951
1265,210,14,897
6117,210,18,801
208,210,6,866
5436,60,10,448
1373,210,6,863
3115,120,14,617
4578,210,8,1120
4609,60,6,650
6135,210,20,896
5981,40,18,546
2723,160,14,745
5633,120,18,520
5183,75,10,448
3019,75,10,527
5531,60,18,416
2156,40,14,456
4677,75,18,518
2324,120,18,382
5316,120,14,582
2587,40,6,666
1484,75,18,527
543,120,14,815
3548,120,6,800
1169,75,14,561
2022,160,14,800
1999,160,20,719
2280,40,6,778
4564,160,18,674
5581,210,10,740
2502,40,14,522
4309,60,14,537
4740,120,14,784
3561,40,8,889
1619,160,20,592
4143,40,14,420
4850,160,8,978
4937,60,20,455
800,40,18,560
460,60,14,775
4915,75,10,599
897,40,14,464
3331,210,8,1155
2231,40,10,414
3236,40,6,598
5001,40,6,633
2642,160,20,616
4714,40,18,583
58,120,8,1046
868,210,18,991
3597,60,8,704
1881,160,14,519
5258,60,20,353
4299,60,18,535
2342,60,14,544
2068,120,14,761
3030,40,20,446
3179,40,10,733
3104,75,18,527
1005,210,6,1274
3356,60,20,530
2801,40,6,849
2437,210,10,1097
2750,160,6,1007
742,60,20,526
6001,120,8,1375
5017,75,8,632
1972,160,10,1374
3854,210,14,1007
229,60,20,446
4710,40,18,503
5984,40,18,480
4927,210,6,1400
2595,75,6,897
2728,160,14,793
2337,60,14,551
3513,160,8,1079
580,75,6,1072
4970,210,20,865
3579,60,20,641
5967,75,6,1246
364,210,10,913
3763,75,10,514
6103,40,10,475
548,120,14,927
1970,75,14,437
2228,40,10,368
5245,60,6,760
5771,40,6,520
6116,210,18,817
4992,40,6,682
4248,60,8,948
1582,75,18,599
4012,75,14,552
3515,160,8,1006
2541,120,18,689
4841,160,8,736
803,40,18,577
2581,120,8,1048
5778,60,8,501
2901,60,20,673
773,120,10,910
5373,75,18,360
552,120,14,704
1392,40,14,494
4148,120,8,871
80,120,6,857
3624,60,6,704
348,120,10,641
903,40,14,422
3738,160,20,1000
5070,60,14,417
4764,120,20,607
1601,210,8,752
4165,160,8,663
5649,75,18,423
3931,160,6,1216
2117,120,6,883
5029,75,8,623
2591,40,6,618
3646,75,8,1019
84,120,6,1041
5852,160,6,1682
1158,40,6,568
3752,160,14,714
3386,160,20,689
2716,60,8,857
5089,160,10,743
5133,160,18,590
1391,40,14,495
3050,75,20,560
5230,75,20,391
1116,210,14,970
2481,120,10,914
5507,210,20,652
623,60,6,1280
3263,210,6,1080
1816,120,8,579
4453,160,6,880
2625,75,8,648
6142,60,18,479
909,40,20,368
6064,75,20,520
5790,210,8,759
5783,60,8,466
4786,75,14,648
2731,210,8,1121
3661,210,6,1233
1798,120,14,465
4789,75,14,658
6046,75,8,694
1447,120,20,657
5548,120,8,751
373,120,14,576
5865,40,20,466
3136,40,8,449
5281,75,14,405
916,40,20,627
334,75,18,512
4966,210,10,904
1337,40,10,481
752,160,14,1241
3494,60,8,720
2302,60,8,506
2014,40,8,911
5896,120,20,695
1108,210,10,962
5091,160,10,953
2551,120,14,769
1857,60,8,498
4583,210,8,1033
5195,40,8,496
5892,160,18,760
2031,160,14,1070
3478,210,10,1079
318,60,8,656
3835,120,14,801
3585,60,20,593
3747,160,20,614
3353,60,20,736
3231,160,14,615
3959,40,10,497
1597,210,8,1030
1631,75,8,591
4328,120,10,864
2279,210,18,910
2720,160,14,882
50,75,20,650
5806,120,14,793
3771,75,20,731
875,120,8,1114
4955,160,14,668
3495,60,8,897
869,210,18,990
1626,75,8,614
5170,40,10,403
4975,210,20,607
4503,160,20,606
2179,40,18,422
234,60,20,590
1746,75,6,591
6130,210,20,831
346,120,10,984
53,75,20,750
1931,75,20,663
5601,40,14,323
4082,210,20,848
1598,210,8,690
2408,160,10,761
2678,75,20,511
2063,60,6,547
894,120,6,929
5165,60,18,422
1428,210,10,1051
3020,75,10,723
4404,40,8,552
2593,40,6,646
2550,120,14,825
4023,120,20,469
4845,160,8,738
4046,210,8,800
5905,210,14,887
3781,210,18,791
1,210,8,1159
6106,40,10,911
626,60,6,1142
312,40,18,337
335,120,20,886
1411,160,6,902
5241,160,8,857
2679,75,20,409
1152,160,14,790
1852,60,8,462
3083,60,18,627
3503,60,10,1089
2251,75,18,347
1435,60,10,455
2178,40,18,490
1813,120,8,592
3890,60,20,736
5615,160,6,717
5868,40,20,461
608,160,18,1019
4334,120,10,623
3211,60,18,635
1475,120,6,745
3666,210,6,1289
6000,120,8,872
4384,210,10,1032
1938,75,20,561
5575,210,10,873
211,210,6,1221
1299,120,18,657
321,60,8,560
5937,120,10,1052
3342,75,10,600
4783,75,14,609
4890,40,14,449
2918,160,18,802
5405,120,18,487
4909,75,10,616
2424,75,14,526
1787,60,6,482
1485,75,18,513
3042,160,20,659
5325,40,14,393
1785,60,6,481
4319,120,14,720
4733,120,10,726
4055,75,10,592
5468,120,14,568
5134,160,18,499
1718,40,8,490
3543,120,6,1617
399,210,10,1072
5956,210,10,865
3355,60,20,486
2620,40,20,409
255,40,20,458
1523,120,10,678
5297,210,20,570
1124,75,14,682
2157,40,14,418
4488,120,8,756
1427,210,10,925
2869,120,14,830
3035,40,20,530
3654,40,18,497
5589,160,14,536
2108,210,10,1015
1450,120,20,630
3594,60,8,902
97,75,6,574
715,75,10,1007
3388,120,20,609
4552,160,10,887
4335,120,10,737
4931,60,20,416
269,210,14,673
5534,40,10,389
1142,160,14,986
2471,40,10,734
2941,210,10,1074
244,160,6,1135
4521,210,6,1064
5717,120,6,672
4228,40,18,399
5552,120,8,677
3600,75,6,930
5495,75,20,406
2316,120,8,785
3542,120,6,1015
3173,40,10,408
5588,160,14,519
776,120,18,816
1535,60,20,511
