,distance,width,movement_time
3084,60,18,653
5330,40,14,344
4778,60,14,536
6065,75,20,551
2413,120,20,781
5636,120,18,470
1741,75,6,696
4494,160,8,769
2354,75,8,659
4137,40,14,401
1233,75,6,709
5789,210,8,721
842,60,20,738
2781,210,14,1426
1217,120,8,672
2614,40,20,671
3326,210,8,1234
710,40,10,750
2928,40,18,480
326,75,18,495
2446,75,18,584
454,60,14,867
5821,210,8,1486
5631,120,18,466
2693,75,10,815
1093,120,14,608
811,160,14,1169
3134,40,8,578
1911,75,20,266
5350,75,6,608
5994,160,8,1280
1452,120,20,574
3770,75,20,595
305,40,18,441
5092,160,10,856
3504,60,10,861
4007,160,14,523
4523,75,8,993
1519,160,8,672
4638,120,18,847
4515,210,6,1050
1944,40,20,370
2932,40,18,478
5879,75,10,913
2654,120,6,769
2023,160,14,848
2168,210,6,1161
1425,210,10,894
5706,210,18,560
2604,60,20,544
2027,160,14,795
3902,60,8,534
4385,210,10,934
4582,210,8,871
1410,160,6,1001
1063,75,18,636
4389,210,10,817
1632,75,8,696
3119,120,10,1354
2934,210,10,1394
4717,40,18,504
4877,120,6,663
5740,40,8,455
4095,60,18,416
3997,40,8,535
4105,40,20,396
4178,120,6,681
6075,75,18,512
6049,210,6,1360
2245,75,18,514
5731,40,18,302
1608,60,10,593
2841,120,18,713
4701,120,8,704
4876,120,6,792
2843,60,6,917
1272,75,10,641
380,40,8,631
5287,75,14,409
4361,210,14,1006
4806,210,18,861
291,60,10,551
768,120,10,936
4394,210,10,792
1964,75,14,706
353,120,10,698
3479,210,10,1041
2301,60,8,547
3873,160,20,720
622,210,18,863
2585,40,6,540
3172,40,10,491
951,60,8,816
2594,75,6,630
5568,75,6,622
4840,160,8,1213
3698,120,20,799
4810,210,14,1068
1078,210,20,958
3906,60,8,582
3797,75,18,645
705,40,10,727
236,60,20,409
4093,75,8,504
2083,120,20,595
6005,120,8,951
3230,160,14,659
4264,75,18,539
4210,75,18,384
3341,75,10,1558
913,40,20,530
2453,60,14,527
2274,210,18,687
4502,160,20,521
4181,60,10,568
1570,120,18,493
2321,120,18,424
901,40,14,441
5356,210,18,656
1989,160,8,997
5261,60,20,367
3302,40,20,303
5999,120,8,1369
2145,60,20,385
5248,60,6,637
2994,120,6,992
3366,60,14,777
964,60,10,527
5522,120,20,436
3885,210,6,889
1661,75,14,496
4883,120,6,777
5063,160,6,1000
2899,60,20,866
3465,120,6,1625
317,60,8,890
4267,75,18,617
5396,40,18,314
1148,160,14,848
2468,210,18,951
880,120,8,1064
5363,210,18,616
764,120,10,1272
1375,210,6,881
4287,60,20,544
5939,120,10,921
3621,60,6,966
128,120,18,662
851,160,8,848
6002,120,8,1048
6070,75,18,734
1525,120,10,686
3112,120,14,1237
2965,60,8,623
2655,120,6,1057
5106,60,8,456
3129,120,10,978
2926,40,18,526
4534,120,18,662
5597,40,14,384
3741,160,20,722
1494,210,8,1040
4572,160,18,807
614,210,18,1031
5792,210,8,791
1010,210,6,896
4427,210,20,729
5947,210,10,1289
525,75,14,656
2845,60,6,609
3644,75,8,1111
1298,120,18,720
5693,120,10,546
4140,40,14,379
3935,75,6,760
268,210,14,792
3717,160,6,888
4896,40,14,434
5235,160,8,926
407,40,20,704
5563,160,8,691
3972,120,10,664
801,40,18,560
3271,60,6,624
3748,160,14,720
2482,120,10,749
5841,40,6,553
2842,60,6,1128
4033,60,6,557
4532,75,8,663
1464,120,14,514
2433,210,10,800
1204,60,6,685
3072,210,20,769
982,210,8,1004
3787,210,18,777
609,160,18,952
481,120,20,1151
1876,160,14,624
661,210,14,865
6027,60,6,615
1044,40,10,480
2268,210,18,744
6029,120,6,800
6093,60,14,465
1939,40,20,654
2232,40,10,466
27,160,10,1119
184,160,8,864
3296,160,8,817
1371,210,6,889
3109,120,14,758
5168,40,10,382
3003,120,6,915
3016,75,10,674
4791,40,8,752
1437,60,10,496
5894,120,20,609
2263,210,8,1144
4709,120,8,721
3448,40,14,730
3733,60,14,583
4990,40,6,598
4295,160,14,896
3512,160,8,1152
2276,210,18,744
904,40,14,433
3658,210,6,1288
725,210,8,1072
5953,210,10,991
1350,60,14,504
503,40,18,541
252,40,20,417
1238,160,20,690
888,120,6,1114
4784,75,14,559
1055,75,18,686
4747,120,14,664
5457,210,14,643
5657,75,18,407
5428,75,10,473
4071,60,14,506
4305,60,18,523
2836,120,18,673
4696,60,8,582
1207,60,18,552
5320,120,14,514
178,40,6,679
4652,210,8,1032
4504,160,20,595
2748,160,6,1142
5037,160,20,1057
3246,40,6,757
1734,60,18,438
479,120,20,763
4447,160,6,841
939,75,10,897
1655,210,14,1093
1634,75,8,632
4024,120,20,634
4266,75,18,536
4561,75,10,594
4444,60,10,548
2838,120,18,786
1651,210,14,657
3470,120,6,1073
52,75,20,570
2987,120,20,642
1339,160,18,914
162,40,14,441
5891,160,18,897
182,160,8,982
5626,60,14,354
2473,40,10,510
2636,160,20,870
3687,40,20,491
2653,120,6,799
2344,60,14,416
3272,60,6,759
3169,75,6,1008
4381,210,18,923
2223,75,10,698
687,120,18,843
1544,210,18,669
5122,210,10,696
3819,120,10,672
584,120,6,889
515,210,20,820
3076,210,20,768
1995,160,8,1027
1708,40,14,599
5514,120,20,446
3864,210,10,766
4802,210,18,744
2370,210,20,822
832,120,20,752
2700,60,6,713
2761,75,8,994
4466,75,20,415
2340,60,14,544
5735,40,18,248
2242,75,18,697
4180,120,6,674
3708,160,6,1495
5768,40,6,358
2311,120,8,1062
5869,40,20,461
4923,210,6,1002
159,60,6,679
4732,120,10,848
